Company Name;Product Name;website (URL);Logo (URL - favicon);Description;Social - X (URL);Social - Linkedin (URL);Tagline;Screenshot URL (if available)
HYPD.ai;HYPD.ai;https://www.hypd.ai/;https://www.hypd.ai/favicon.ico;AI assistant for performance marketers. Connect Facebook and Google Ad accounts to talk to your campaigns, create reports, and get campaign recommendations through natural language.;;;Your AI Assistant for Performance Marketers;
GoMarble;GoMarble;https://www.gomarble.ai/;https://www.gomarble.ai/favicon.ico;AI agent for performance marketing and creative intelligence. Generates instant HTML reports across Google, Meta, LinkedIn, and TikTok. Analyzes creative performance, surfaces insights, and provides frameworks from top 1% marketing experts. Used by 1000+ marketing teams across 80+ countries.;;;The AI Agent for Performance Marketing & Creative Intelligence;
Markifact;Markifact;https://www.markifact.com/;https://www.markifact.com/favicon.ico;AI marketing automation platform with 10,000+ users. Features: consolidated Google & Meta Ads reports in Slides, natural language GA4 analysis in Slack, automated Google Ads audits (40+ checks), bulk Meta ads creation, SEO reports, competitor ad export, Meta ads audits (100+ checks), responsive search ads at scale, Google Merchant Center analysis, Shopify integration, GA4 setup audits (50+ checks).;;;Marketing automation made simple;
Blobr;Blobr;https://www.blobr.io/;https://www.blobr.io/favicon.ico;AI agents trained on best practices of top Google Ads experts. Plugs into Google Ads, analyzes performance continuously, and turns best practices into concrete actions. Automates 80% of daily Google Ads account management. Provides weekly prioritized recommendations tailored to goals and budget.;;;Run Google Ads Like a Pro;
Singular;Singular MCP;https://support.singular.net/hc/en-us/articles/37923459892507-Singular-MCP;;Model Context Protocol (MCP) server for Singular mobile measurement platform. Enables integration with LLMs and agentic AI systems to query marketing data and trigger optimizations.;;;;
AppsFlyer;Agentic AI Suite;https://www.appsflyer.com/products/agentic-ai/;https://www.appsflyer.com/favicon.ico;AI-powered execution suite built on clean, unified, and semantically clear marketing data. Includes MCP integration for connecting any LLM to AppsFlyer data, and pre-built agents for anomaly detection, performance summaries, and opportunity spotting. Privacy-first infrastructure with partner-specific policies and regulatory standards.;;;AI-powered execution eliminating analyst bottlenecks;
Kochava;StationOne;https://www.kochava.com/stationone/;https://www.kochava.com/favicon.ico;Integrative AI hub making agentic AI accessible. Orchestration layer delivering choice, security, and agentic intelligence. Runs locally on desktop or environment for complete privacy. Supports connecting any model, integrating MCPs, building custom agents. Available for Windows, macOS, and Linux.;;;The Integrative AI Hub for Marketers & Digital Professionals;
Ryze AI;Ryze AI;https://www.get-ryze.ai/;https://www.get-ryze.ai/favicon.ico;AI-powered ad management platform managing $10M+ in ad budgets for 230+ customers. Manages Meta and TikTok ads. Features: 24/7 ad monitoring, AI ad creation, real-time budget optimization, keyword and targeting management, ad audits, competitor benchmarking. Replaces agencies with AdGent AI.;;;Let AI manage your paid ads;
Google;Ads Advisor (Beta);https://support.google.com/google-ads/answer/16574983;https://www.google.com/favicon.ico;Agentic conversational experience in Google Ads designed to maximize performance based on unique business goals. Helps identify improvement areas, troubleshoot issues, understand performance changes, generate campaign optimization suggestions, and create assets. Currently in beta, expanding to all English-language advertisers.;;;Agentic conversational AI for Google Ads;
Google;Analytics Advisor (Beta);https://support.google.com/analytics/answer/16675569;https://www.google.com/favicon.ico;Agentic conversational AI in Google Analytics powered by Gemini models. Designed to accelerate data analysis for all GA users. Provides personalized answers about analytics property with actionable insights, visualizations, and links to helpful reports. Currently available in English with plans to expand.;;;Agentic AI for Google Analytics;
Google;Google Ads MCP;https://github.com/googleads/google-ads-mcp;https://www.google.com/favicon.ico;Model Context Protocol (MCP) server for Google Ads API. Enables LLMs and agentic AI to query performance data, retrieve campaign information, and access customer accounts. Open-source repository with tools for search, list accessible customers, and more.;;;MCP Server for Google Ads API;
Amazon Ads;Ads Agent;https://advertising.amazon.com/resources/whats-new/unboxed-2025-introducing-ads-agent;https://advertising.amazon.com/favicon.ico;AI agent launched at Amazon Ads unBoxed 2025. Simplifies campaign planning, launching, and optimization. Automates identifying targeting segments, adjusting pacing across hundreds of campaigns, and generating SQL queries. Features include campaign creation at scale, intelligent targeting recommendations, and time-to-insight acceleration in Amazon Marketing Cloud.;;;Simplifying ad campaign management with AI;
Meta/Facebook;Business AI;https://www.facebook.com/business/ai/business-ai;https://www.facebook.com/favicon.ico;Always-on sales agent guiding customers from discovery to purchase across Meta ads, messaging apps, and websites. Learns from posts and campaigns to deliver personalized responses. No coding required. Handles customer conversations in Messenger, WhatsApp, Facebook Reels, and Instagram Stories. Voice interaction and return handling capabilities.;;;AI-powered sales agent across Meta ecosystem;
Meta/Facebook;Business Assistant (Ads Advisor);https://www.facebook.com/business/ai/business-assistant;https://www.facebook.com/favicon.ico;Personalized campaign recommendations AI in Ads Manager. Provides insights unique to Meta through seamless chat experience. Helps with campaign optimization, creative suggestions, audience insights, and performance analysis.;;;AI-powered campaign recommendations in Ads Manager;
Walmart;Sparky;https://www.walmart.com/cp/sparky/5291783;https://www.walmart.com/favicon.ico;Walmart's AI shopping assistant available in Walmart mobile app. Helps users make purchasing decisions by reading reviews, providing product recommendations, and reducing purchase surprises. Available as in-app feature for shoppers.;;;AI Shopping Assistant;
Branch;Ivy;https://www.branch.io/ivyai/;https://www.branch.io/favicon.ico;Integrated AI system transforming how marketers work. Turns complex data into clear insights to reveal campaign performance drivers. Features include intelligent link creation with accurate tags, campaign analysis, personalized actionable recommendations, automated data analysis, and smart workflow streamlining. Privacy-safe processing with enterprise-grade security.;;;Your strategic AI partner;